time,open,high,low,close,volume
2020-04-24 17:12:00,213.8902,213.8902,213.89,213.89,4200
2020-04-24 17:11:00,213.89,213.89,213.89,213.89,204
2020-04-24 17:10:00,213.9,213.9,213.89,213.9,4051
2020-04-24 17:09:00,213.9,213.9,213.9,213.9,400
2020-04-24 17:08:00,213.9,213.9,213.9,213.9,490
2020-04-24 17:07:00,213.9,213.9,213.89,213.89,3124
2020-04-24 17:06:00,213.92,213.92,213.92,213.92,2005
2020-04-24 17:01:00,214.07,214.07,213.9,213.92,2501
2020-04-24 17:00:00,213.94,213.98,213.9,213.9,19271
2020-04-24 16:59:00,213.96,213.96,213.95,213.95,3798
2020-04-24 16:58:00,214.0,214.0,213.99,213.99,1533
2020-04-24 16:57:00,214.0,214.0,214.0,214.0,8550
2020-04-24 16:56:00,213.97,213.99,213.97,213.99,2106
2020-04-24 16:55:00,213.96,213.96,213.96,213.96,8795
2020-04-24 16:54:00,213.96,213.96,213.96,213.96,1261
2020-04-24 16:51:00,213.96,213.99,213.96,213.99,10202
2020-04-24 16:50:00,213.94,213.95,213.94,213.95,7799
2020-04-24 16:49:00,213.93,213.93,213.93,213.93,122
2020-04-24 16:48:00,213.95,213.95,213.94,213.94,91646
2020-04-24 16:47:00,213.94,213.94,213.94,213.94,1100
2020-04-24 16:46:00,213.96,213.96,213.96,213.96,3500
2020-04-24 16:45:00,213.98,214.0,213.98,214.0,1409
2020-04-24 16:44:00,213.98,213.98,213.98,213.98,2303
2020-04-24 16:43:00,214.0,214.0,213.97,213.99,7665
2020-04-24 16:42:00,214.02,214.02,214.02,214.02,2674
2020-04-24 16:41:00,214.02,214.02,214.02,214.02,2107
2020-04-24 16:40:00,214.01,214.01,213.98,213.98,910
